id,city,month,match_type,team_a,team_b,toss_won,toss_decision,venue,score_a,score_b,winner
32,Cape Town,September,T20,New Zealand,Pakistan,New Zealand,bat,Newlands,143,147,Pakistan
33,,November,T20,Pakistan,New Zealand,Pakistan,bat,Sharjah Cricket Stadium,89,93,New Zealand
34,Auckland,January,T20,Pakistan,New Zealand,Pakistan,bat,Eden Park,201,153,Pakistan
35,,November,T20,New Zealand,Pakistan,New Zealand,field,Dubai International Cricket Stadium,112,161,Pakistan
36,,December,T20,New Zealand,Pakistan,Pakistan,field,Dubai International Cricket Stadium,144,127,New Zealand
37,Auckland,January,T20,New Zealand,Pakistan,New Zealand,field,Eden Park,155,171,Pakistan
38,,November,T20,New Zealand,Pakistan,Pakistan,bat,Dubai International Cricket Stadium,146,153,Pakistan
39,Wellington,January,T20,Pakistan,New Zealand,New Zealand,field,Westpac Stadium,105,106,New Zealand
40,,November,T20,Pakistan,New Zealand,Pakistan,bat,Dubai International Cricket Stadium,166,119,Pakistan
41,Nelson,November,T20,New Zealand,Pakistan,New Zealand,bat,Saxton Oval,118,104,New Zealand
42,Abu Dhabi,October,T20,Pakistan,New Zealand,Pakistan,bat,Sheikh Zayed Stadium,148,146,Pakistan
43,Barbados,May,T20,New Zealand,Pakistan,Pakistan,field,"Kensington Oval, Bridgetown",133,132,New Zealand
44,Christchurch,December,T20,New Zealand,Pakistan,Pakistan,bat,AMI Stadium,80,183,Pakistan
45,,December,T20,New Zealand,Pakistan,Pakistan,field,Dubai International Cricket Stadium,135,140,Pakistan
46,Hamilton,December,T20,New Zealand,Pakistan,Pakistan,field,Seddon Park,185,146,New Zealand
47,London,June,T20,New Zealand,Pakistan,New Zealand,bat,Kennington Oval,99,100,Pakistan
48,Guyana,November,T20,New Zealand,Pakistan,Pakistan,field,Providence Stadium,144,90,New Zealand
49,,November,T20,New Zealand,Pakistan,New Zealand,bat,Sharjah Cricket Stadium,150,111,New Zealand
50,Auckland,December,T20,New Zealand,Pakistan,New Zealand,field,Eden Park,146,143,New Zealand
51,,March,T20,New Zealand,Pakistan,New Zealand,bat,Sylhet Stadium,167,108,New Zealand
52,,November,T20,New Zealand,Pakistan,New Zealand,bat,Dubai International Cricket Stadium,153,154,Pakistan
53,Hamilton,January,T20,New Zealand,Pakistan,Pakistan,bat,Seddon Park,171,168,New Zealand
54,,November,T20,New Zealand,Pakistan,New Zealand,bat,Sharjah Cricket Stadium,126,84,New Zealand
55,,September,T20,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium,164,177,Pakistan
56,Mount Maunganui,January,T20,Pakistan,New Zealand,Pakistan,bat,Bay Oval,181,163,Pakistan
57,Wellington,January,T20,New Zealand,Pakistan,Pakistan,field,Westpac Stadium,196,101,New Zealand
58,Chandigarh,March,T20,New Zealand,Pakistan,New Zealand,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",180,158,New Zealand
59,Manchester,September,T20,Pakistan,England,England,field,Old Trafford,190,185,Pakistan
60,Manchester,September,T20,England,Pakistan,England,bat,Old Trafford,135,139,Pakistan
61,,February,T20,England,Pakistan,England,field,Dubai International Cricket Stadium,136,144,Pakistan
62,London,June,T20,England,Pakistan,Pakistan,field,Kennington Oval,185,137,England
63,Cardiff,May,T20,England,Pakistan,Pakistan,bat,Sophia Gardens,175,173,England
64,Loughborough,September,T20,England,Pakistan,Pakistan,bat,Haslegrave Ground,91,87,England
65,Manchester,August,T20,Pakistan,England,England,field,Old Trafford,195,199,England
66,,February,T20,England,Pakistan,Pakistan,field,Dubai International Cricket Stadium,148,149,Pakistan
67,Abu Dhabi,February,T20,England,Pakistan,England,bat,Sheikh Zayed Stadium,129,124,England
68,Kuala Lumpur,December,T20,England,Pakistan,England,bat,Kinrara Academy Oval,170,144,England
69,Southampton,July,T20,England,Pakistan,England,bat,The Rose Bowl,138,103,England
70,,February,T20,England,Pakistan,Pakistan,bat,Dubai International Cricket Stadium,130,129,England
71,Bristol,August,T20,England,Pakistan,England,bat,County Ground,144,148,Pakistan
