id,city,month,match_type,team,batsman,position,bowler,over_no,ball_no,venue,wicket_out,score
154,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,25,1,Rawalpindi Cricket Stadium,False,0
155,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,25,2,Rawalpindi Cricket Stadium,False,1
156,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,25,3,Rawalpindi Cricket Stadium,False,1
157,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,25,4,Rawalpindi Cricket Stadium,False,0
158,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,25,5,Rawalpindi Cricket Stadium,False,4
159,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,25,6,Rawalpindi Cricket Stadium,False,1
160,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,26,1,Rawalpindi Cricket Stadium,False,0
161,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,26,2,Rawalpindi Cricket Stadium,False,4
162,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,26,3,Rawalpindi Cricket Stadium,False,4
163,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,26,4,Rawalpindi Cricket Stadium,False,1
164,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,26,5,Rawalpindi Cricket Stadium,False,0
165,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,26,6,Rawalpindi Cricket Stadium,False,1
166,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,27,1,Rawalpindi Cricket Stadium,False,0
167,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,27,2,Rawalpindi Cricket Stadium,False,1
168,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,27,3,Rawalpindi Cricket Stadium,False,1
169,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,27,4,Rawalpindi Cricket Stadium,False,1
170,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,27,5,Rawalpindi Cricket Stadium,False,0
171,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,27,6,Rawalpindi Cricket Stadium,False,0
172,,February,ODI,Pakistan,Younis Khan,6,V Sehwag,28,1,Rawalpindi Cricket Stadium,False,1
173,,February,ODI,Pakistan,Shoaib Malik,3,V Sehwag,28,2,Rawalpindi Cricket Stadium,False,0
174,,February,ODI,Pakistan,Shoaib Malik,3,V Sehwag,28,3,Rawalpindi Cricket Stadium,False,4
175,,February,ODI,Pakistan,Shoaib Malik,3,V Sehwag,28,4,Rawalpindi Cricket Stadium,False,1
176,,February,ODI,Pakistan,Younis Khan,6,V Sehwag,28,5,Rawalpindi Cricket Stadium,False,1
177,,February,ODI,Pakistan,Shoaib Malik,3,V Sehwag,28,6,Rawalpindi Cricket Stadium,False,1
178,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,29,1,Rawalpindi Cricket Stadium,False,0
179,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,29,2,Rawalpindi Cricket Stadium,False,0
180,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,29,3,Rawalpindi Cricket Stadium,False,1
181,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,29,4,Rawalpindi Cricket Stadium,False,1
182,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,29,5,Rawalpindi Cricket Stadium,False,4
183,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,29,6,Rawalpindi Cricket Stadium,False,1
184,,February,ODI,Pakistan,Shoaib Malik,3,V Sehwag,30,1,Rawalpindi Cricket Stadium,False,1
185,,February,ODI,Pakistan,Younis Khan,6,V Sehwag,30,2,Rawalpindi Cricket Stadium,False,0
186,,February,ODI,Pakistan,Younis Khan,6,V Sehwag,30,3,Rawalpindi Cricket Stadium,False,0
187,,February,ODI,Pakistan,Younis Khan,6,V Sehwag,30,4,Rawalpindi Cricket Stadium,False,1
188,,February,ODI,Pakistan,Younis Khan,6,V Sehwag,30,5,Rawalpindi Cricket Stadium,False,1
