id,match_type,month,city,position,bat_team,batsman,bowling_team,venue,score
7725,ODI,January,,11,Pakistan,Mohammad Asif,Australia,Adelaide Oval,1
7726,ODI,April,,1,Australia,SE Marsh,Pakistan,Dubai Sports City Cricket Stadium,17
7727,ODI,April,,2,Australia,BJ Haddin,Pakistan,Dubai Sports City Cricket Stadium,42
7728,ODI,April,,3,Australia,SR Watson,Pakistan,Dubai Sports City Cricket Stadium,42
7729,ODI,April,,4,Australia,MJ Clarke,Pakistan,Dubai Sports City Cricket Stadium,4
7730,ODI,April,,5,Australia,A Symonds,Pakistan,Dubai Sports City Cricket Stadium,2
7731,ODI,April,,6,Australia,CJ Ferguson,Pakistan,Dubai Sports City Cricket Stadium,2
7732,ODI,April,,7,Australia,JR Hopes,Pakistan,Dubai Sports City Cricket Stadium,51
7733,ODI,April,,8,Australia,NM Hauritz,Pakistan,Dubai Sports City Cricket Stadium,1
7734,ODI,April,,9,Australia,NW Bracken,Pakistan,Dubai Sports City Cricket Stadium,1
7735,ODI,April,,10,Australia,SR Clark,Pakistan,Dubai Sports City Cricket Stadium,2
7736,ODI,April,,11,Australia,BW Hilfenhaus,Pakistan,Dubai Sports City Cricket Stadium,4
7737,ODI,April,,1,Pakistan,Salman Butt,Australia,Dubai Sports City Cricket Stadium,5
7738,ODI,April,,2,Pakistan,Kamran Akmal,Australia,Dubai Sports City Cricket Stadium,53
7739,ODI,April,,3,Pakistan,Younis Khan,Australia,Dubai Sports City Cricket Stadium,11
7740,ODI,April,,4,Pakistan,Shoaib Malik,Australia,Dubai Sports City Cricket Stadium,24
7741,ODI,April,,5,Pakistan,Misbah-ul-Haq,Australia,Dubai Sports City Cricket Stadium,31
7742,ODI,April,,6,Pakistan,Shahid Afridi,Australia,Dubai Sports City Cricket Stadium,30
7743,ODI,April,,7,Pakistan,Nasir Jamshed,Australia,Dubai Sports City Cricket Stadium,9
7744,ODI,April,,8,Pakistan,Umar Gul,Australia,Dubai Sports City Cricket Stadium,8
7745,ODI,September,,1,Pakistan,Mohammad Hafeez,Australia,Sharjah Cricket Stadium,83
7746,ODI,September,,2,Pakistan,Nasir Jamshed,Australia,Sharjah Cricket Stadium,55
7747,ODI,September,,3,Pakistan,Shahid Afridi,Australia,Sharjah Cricket Stadium,8
7748,ODI,September,,4,Pakistan,Asad Shafiq,Australia,Sharjah Cricket Stadium,29
7749,ODI,September,,5,Pakistan,Misbah-ul-Haq,Australia,Sharjah Cricket Stadium,25
7750,ODI,September,,6,Pakistan,Umar Akmal,Australia,Sharjah Cricket Stadium,0
7751,ODI,September,,7,Pakistan,Azhar Ali,Australia,Sharjah Cricket Stadium,27
7752,ODI,September,,8,Pakistan,Kamran Akmal,Australia,Sharjah Cricket Stadium,2
7753,ODI,September,,9,Pakistan,Abdur Rehman,Australia,Sharjah Cricket Stadium,15
7754,ODI,September,,1,Australia,DA Warner,Pakistan,Sharjah Cricket Stadium,21
7755,ODI,September,,2,Australia,DJ Hussey,Pakistan,Sharjah Cricket Stadium,43
7756,ODI,September,,3,Australia,MJ Clarke,Pakistan,Sharjah Cricket Stadium,33
7757,ODI,September,,4,Australia,MEK Hussey,Pakistan,Sharjah Cricket Stadium,66
7758,ODI,September,,5,Australia,GJ Bailey,Pakistan,Sharjah Cricket Stadium,1
7759,ODI,September,,6,Australia,MS Wade,Pakistan,Sharjah Cricket Stadium,23
7760,ODI,September,,7,Australia,GJ Maxwell,Pakistan,Sharjah Cricket Stadium,60
